"ruleId","titleZhHant","grammarCategory","formula","structuralSignature","incorrectPattern","correctPattern","explanationZhHant","correctExamples","incorrectExamples","alternativeCorrections","englishVariant","status","version","author"
"CLAUSE_NONRESTRICTIVE_WHICH_NO_COORDINATING_AND","文法規則：CLAUSE NONRESTRICTIVE_WHICH NO_COORDINATING_AND","sentence_structure","CLAUSE.NONRESTRICTIVE_WHICH.NO_COORDINATING_AND","[""clause"",""nonrestrictive_which"",""no_coordinating_and""]",", and which",", which","which may boost... 是補充前面整個結果的非限制性關係分句。前面已有逗號連接，因此不再加入 and。 另一個正確寫法是分成兩個主句：..., and this may boost their anxiety.","["", which""]","["", and which""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_NOR_AUXILIARY_INVERSION","文法規則：CLAUSE NOR AUXILIARY_INVERSION","sentence_structure","CLAUSE.NOR.AUXILIARY_INVERSION","[""clause"",""nor"",""auxiliary_inversion""]","nor they may photograph","nor may they photograph","nor 接續另一個否定分句時，通常使用助動詞倒裝：nor + 助動詞 + 主語。","[""nor may they photograph""]","[""nor they may photograph""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_NOT_ONLY_INITIAL_INVERSION","文法規則：CLAUSE NOT_ONLY INITIAL_INVERSION","sentence_structure","CLAUSE.NOT_ONLY.INITIAL_INVERSION","[""clause"",""not_only"",""initial_inversion""]","Not only several contractors failed","Not only did several contractors fail","Not only 放在句首並修飾整個分句時，要使用助動詞倒裝：Not only + did + 主語 + 動詞原形。邊界： Not only the contractors but also the engineers agreed 中， not only 只連接名詞詞組，因此不用倒裝。","[""Not only did several contractors fail""]","[""Not only several contractors failed""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_NOT_UNTIL_INITIAL_MAIN_INVERSION","文法規則：CLAUSE NOT_UNTIL INITIAL_MAIN_INVERSION","sentence_structure","CLAUSE.NOT_UNTIL.INITIAL_MAIN_INVERSION","[""clause"",""not_until"",""initial_main_inversion""]","Not until the exhibition opened residents realised","Not until the exhibition opened did residents realise","Not until + 分句放在句首時，後面的主句要使用助動詞倒裝： did + 主語 + 動詞原形。若放在句尾，則不用倒裝： Residents did not realise it until the exhibition opened.","[""Not until the exhibition opened did residents realise""]","[""Not until the exhibition opened residents realised""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_NO_SOONER_PAST_PERFECT_INVERSION","文法規則：CLAUSE NO_SOONER PAST_PERFECT_INVERSION","sentence_structure","CLAUSE.NO_SOONER.PAST_PERFECT_INVERSION","[""clause"",""no_sooner"",""past_perfect_inversion""]","No sooner the investigators had","No sooner had the investigators","No sooner 放在句首時，要使用過去完成式倒裝：No sooner + had + 主語 + 過去分詞。","[""No sooner had the investigators""]","[""No sooner the investigators had""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_NO_STAFF_BE_PROGRESSIVE_ARTICLE","文法規則：CLAUSE NO_STAFF BE_PROGRESSIVE ARTICLE","sentence_structure","CLAUSE.NO_STAFF.BE_PROGRESSIVE.ARTICLE","[""clause"",""no_staff"",""be_progressive"",""article""]","wearing uniform","are wearing a uniform","關係分句需要有限動詞，所以在 wearing 前加入 are。 uniform 是單數可數名詞，前面需要冠詞 a。本句把 staff 視為多名員工，因此使用 are。","[""are wearing a uniform""]","[""wearing uniform""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_ONLY_AFTER_INITIAL_INVERSION","文法規則：CLAUSE ONLY_AFTER INITIAL_INVERSION","sentence_structure","CLAUSE.ONLY_AFTER.INITIAL_INVERSION","[""clause"",""only_after"",""initial_inversion""]","the panel ruled","did the panel rule","Only after + 分句放在句首時，主句要倒裝： Only after… did + 主語 + 動詞原形。若 only after 放在句尾，則不用倒裝：The panel ruled out fraud only after examining the records。","[""did the panel rule""]","[""the panel ruled""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_PREPOSITION_WHETHER_NOT_IF","文法規則：CLAUSE PREPOSITION WHETHER NOT_IF","sentence_structure","CLAUSE.PREPOSITION.WHETHER.NOT_IF","[""clause"",""preposition"",""whether"",""not_if""]","depends on if","depends on whether","疑問分句直接放在介詞 on 後面時，標準寫法使用 whether。if 一般不能直接跟在介詞後。","[""depends on whether""]","[""depends on if""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RARELY_INITIAL_PAST_PERFECT_INVERSION","文法規則：CLAUSE RARELY INITIAL_PAST_PERFECT_INVERSION","sentence_structure","CLAUSE.RARELY.INITIAL_PAST_PERFECT_INVERSION","[""clause"",""rarely"",""initial_past_perfect_inversion""]","Rarely the museum had received","Rarely had the museum received","Rarely 等具否定或限制意思的副詞放在句首時，要把助動詞放到主語前。這裡原本是過去完成式，所以寫 Rarely had the museum received...。","[""Rarely had the museum received""]","[""Rarely the museum had received""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REASON_COPULAR_THAT_CLAUSE","文法規則：CLAUSE REASON COPULAR_THAT_CLAUSE","sentence_structure","CLAUSE.REASON.COPULAR_THAT_CLAUSE","[""clause"",""reason"",""copular_that_clause""]","reason is due to","reason is that","reason is that + 完整分句用來說明原因內容。due to 後面通常接名詞詞組，例如 The improvement is due to preventive spending；不能直接接 preventive spending creates... 這個有限分句。","[""reason is that""]","[""reason is due to""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REASON_WHY_IS_THAT","文法規則：CLAUSE REASON_WHY IS_THAT","sentence_structure","CLAUSE.REASON_WHY.IS_THAT","[""clause"",""reason_why"",""is_that""]","is because","is that","正式標準結構是 The reason why... is that + 分句。because 本身表示原因，在 reason is because 中形成重複。非正式英文偶爾可見原寫法，因此新規則宜先設為 suggestion-only。","[""is that""]","[""is because""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RECOMMEND_THAT_BASE_SUBJUNCTIVE","文法規則：CLAUSE RECOMMEND THAT BASE_SUBJUNCTIVE","sentence_structure","CLAUSE.RECOMMEND.THAT.BASE_SUBJUNCTIVE","[""clause"",""recommend"",""that"",""base_subjunctive""]","contractor provides","contractor provide","recommend that 後面表達要求或建議時，可使用原形虛擬語氣： that each contractor provide。英式英文亦接受 that each contractor should provide。","[""contractor provide""]","[""contractor provides""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RECOMMEND_THAT_PASSIVE_BE_SUBJUNCTIVE","文法規則：CLAUSE RECOMMEND THAT PASSIVE_BE_SUBJUNCTIVE","sentence_structure","CLAUSE.RECOMMEND.THAT.PASSIVE_BE_SUBJUNCTIVE","[""clause"",""recommend"",""that"",""passive_be_subjunctive""]","drills carried out","drills be carried out","被動虛擬語氣要保留 be： recommend that + 主語 + be + 過去分詞。亦可寫 should be carried out。","[""drills be carried out""]","[""drills carried out""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REDUCED_RELATIVE_ACTIVE_PRESENT_PARTICIPLE","文法規則：CLAUSE REDUCED_RELATIVE ACTIVE_PRESENT_PARTICIPLE","sentence_structure","CLAUSE.REDUCED_RELATIVE.ACTIVE_PRESENT_PARTICIPLE","[""clause"",""reduced_relative"",""active_present_participle""]","portfolios contained","portfolios containing","portfolios 主動「包含」資料，所以可使用現在分詞縮減關係分句： portfolios contain ing...， 相當於 portfolios that contain...。","[""portfolios containing""]","[""portfolios contained""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REDUCED_RELATIVE_NO_WHO_BEFORE_PARTICIPLE","文法規則：CLAUSE REDUCED_RELATIVE NO_WHO_BEFORE_PARTICIPLE","sentence_structure","CLAUSE.REDUCED_RELATIVE.NO_WHO_BEFORE_PARTICIPLE","[""clause"",""reduced_relative"",""no_who_before_participle""]","students who living","students living","可寫完整關係分句 students who are living...，或縮減為 students living...。不能只保留 who 而省略必要的 are。","[""students living""]","[""students who living""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REDUCED_RELATIVE_PASSIVE_PARTICIPLE_FORM","文法規則：CLAUSE REDUCED_RELATIVE PASSIVE PARTICIPLE_FORM","sentence_structure","CLAUSE.REDUCED_RELATIVE.PASSIVE.PARTICIPLE_FORM","[""clause"",""reduced_relative"",""passive"",""participle_form""]","references submitting without signatures","references submitted without signatures","references 是「被提交」的文件，所以縮減關係分句使用過去分詞 submitted。 submitting 會表示 references 主動提交其他東西。","[""references submitted without signatures""]","[""references submitting without signatures""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REDUCED_RELATIVE_PASSIVE_REMOVE_FINITE_BE","文法規則：CLAUSE REDUCED_RELATIVE PASSIVE REMOVE_FINITE_BE","sentence_structure","CLAUSE.REDUCED_RELATIVE.PASSIVE.REMOVE_FINITE_BE","[""clause"",""reduced_relative"",""passive"",""remove_finite_be""]","Applications were submitted after the deadline will","Applications submitted after the deadline will","will be considered 已是主句謂語。前面的 submitted after the deadline 應作縮減被動關係分句，不能另用有限動詞 were。","[""Applications submitted after the deadline will""]","[""Applications were submitted after the deadline will""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REDUCED_RELATIVE_PASSIVE_WRITTEN_NOT_WROTE","文法規則：CLAUSE REDUCED_RELATIVE PASSIVE WRITTEN_NOT_WROTE","sentence_structure","CLAUSE.REDUCED_RELATIVE.PASSIVE.WRITTEN_NOT_WROTE","[""clause"",""reduced_relative"",""passive"",""written_not_wrote""]","reports wrote","reports written","reports 是「被寫成」某種語言，所以使用過去分詞 written。 wrote 是主動過去式，不能直接放在名詞後構成被動修飾語。","[""reports written""]","[""reports wrote""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RELATIVE_FRONTED_PREPOSITION_WHICH","文法規則：CLAUSE RELATIVE FRONTED_PREPOSITION WHICH","sentence_structure","CLAUSE.RELATIVE.FRONTED_PREPOSITION.WHICH","[""clause"",""relative"",""fronted_preposition"",""which""]","on that","on which","介詞放在關係代名詞前面時，物件使用 which，不使用 that。所以寫 pumps on which the districts depended。另一個正確寫法是 pumps which the districts depended on。","[""on which""]","[""on that""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RELATIVE_LOCATION_WHERE","文法規則：CLAUSE RELATIVE LOCATION WHERE","sentence_structure","CLAUSE.RELATIVE.LOCATION.WHERE","[""clause"",""relative"",""location"",""where""]","with","where","後面是包含主語和動詞的完整分句，用來描述 airport 裡的情況，因此使用關係副詞 where。 with 後面不能直接接 the staff do... 這種有限分句。","[""where""]","[""with"",""and""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RELATIVE_OBJECT_NO_RESUMPTIVE_PRONOUN","文法規則：CLAUSE RELATIVE OBJECT NO_RESUMPTIVE_PRONOUN","sentence_structure","CLAUSE.RELATIVE.OBJECT.NO_RESUMPTIVE_PRONOUN","[""clause"",""relative"",""object"",""no_resumptive_pronoun""]","erase it","erase","that 已把 pain 連接到關係分句，並代表 erase 的賓語，所以句末不可再加入 it。正確結構是 pain + that + 主語 + 動詞。","[""erase""]","[""erase it""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RELATIVE_PASSIVE_BE_PARTICIPLE","文法規則：CLAUSE RELATIVE PASSIVE_BE_PARTICIPLE","sentence_structure","CLAUSE.RELATIVE.PASSIVE_BE_PARTICIPLE","[""clause"",""relative"",""passive_be_participle""]","that located","that was located","supermarket 是「位於」某處，完整被動關係分句要有 be + 過去分詞： that was located。","[""that was located"",""that is located""]","[""that located""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RELATIVE_RESTRICTIVE_THAT_NO_COMMAS","文法規則：CLAUSE RELATIVE RESTRICTIVE_THAT NO_COMMAS","sentence_structure","CLAUSE.RELATIVE.RESTRICTIVE_THAT.NO_COMMAS","[""clause"",""relative"",""restrictive_that"",""no_commas""]","A health system, that only responds after people are already sick, is","A health system that only responds after people are already sick is","that only responds... 用來界定是哪一類 health system，是限制性關係分句，因此前後不加逗號。非限制性補充資料通常用 which 並以逗號分隔，例如 The system, which was introduced last year, is expensiv e.","[""A health system that only responds after people are already sick is""]","[""A health system, that only responds after people are already sick, is""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_REPORTING_PASSIVE_PERFECT_INFINITIVE","文法規則：CLAUSE REPORTING_PASSIVE PERFECT_INFINITIVE","sentence_structure","CLAUSE.REPORTING_PASSIVE.PERFECT_INFINITIVE","[""clause"",""reporting_passive"",""perfect_infinitive""]","is believed having cost","is believed to have cost","damage 發生在現在的相信或估計之前，因此使用被動報告結構 is believed to have + 過去分詞。邊界：The project is believed to cost £5 million 可表示目前估計的成本。","[""is believed to have cost""]","[""is believed having cost""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_RESULT_ALLOWING_LAND_ABOVE_IT","文法規則：CLAUSE RESULT ALLOWING LAND_ABOVE_IT","sentence_structure","CLAUSE.RESULT.ALLOWING.LAND_ABOVE_IT","[""clause"",""result"",""allowing"",""land_above_it""]","which allows the above land","allowing the land above it","the above land 通常表示「上文提及的土地」，不是物理上位於上方的土地。應寫 the land above it。現在分詞 allowing 清楚表示前述工程的結果。","[""allowing the land above it""]","[""which allows the above land""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_SO_ADJECTIVE_INVERSION","文法規則：CLAUSE SO_ADJECTIVE INVERSION","sentence_structure","CLAUSE.SO_ADJECTIVE.INVERSION","[""clause"",""so_adjective"",""inversion""]","So complicated the forms were","So complicated were the forms","So + 形容詞放在句首以加強語氣時，使用主語與 be 的倒裝：So complicated were the forms that...。","[""So complicated were the forms""]","[""So complicated the forms were""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_SUBORDINATOR_FRAGMENT_REMOVE_ALTHOUGH","文法規則：CLAUSE SUBORDINATOR_FRAGMENT REMOVE_ALTHOUGH","sentence_structure","CLAUSE.SUBORDINATOR_FRAGMENT.REMOVE_ALTHOUGH","[""clause"",""subordinator_fragment"",""remove_although""]","Although it","It","although 會把後面的內容變成從屬分句，因此不能單獨成句。最小修正是刪除 Although。另一個正確方案是把它接回上一句：..., although it is predicted to fall...。","[""It""]","[""Although it""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_SUCH_WAS_NOUN_INVERSION","文法規則：CLAUSE SUCH_WAS NOUN_INVERSION","sentence_structure","CLAUSE.SUCH_WAS.NOUN_INVERSION","[""clause"",""such_was"",""noun_inversion""]","such the confusion was","such was the confusion","正式強調結構是 Such was + 名詞詞組 + that...，表示程度非常高。不可把 the confusion 放在 was 前。","[""such was the confusion""]","[""such the confusion was""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_THAT_PLURAL_SUBJECT_FINITE_PRESENT","文法規則：CLAUSE THAT PLURAL_SUBJECT FINITE_PRESENT","sentence_structure","CLAUSE.THAT.PLURAL_SUBJECT.FINITE_PRESENT","[""clause"",""that"",""plural_subject"",""finite_present""]","facing","face","that 後面需要完整分句。 many employees 是複數主語，因此使用一般現在式有限動詞 face。 employees facing... 可作名詞詞組，但不能在這裡單獨充當完整分句。","[""face""]","[""facing""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_THE_WAY_IN_WHICH_NOT_HOW","文法規則：CLAUSE THE_WAY IN_WHICH NOT_HOW","sentence_structure","CLAUSE.THE_WAY.IN_WHICH.NOT_HOW","[""clause"",""the_way"",""in_which"",""not_how""]","The way how volunteers describe","The way in which volunteers describe","標準寫法可用 the way in which...、 the way... 或單獨的 how...。一般不使用重複的 the way how...。","[""The way in which volunteers describe""]","[""The way how volunteers describe""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_UNDER_NO_CIRCUMSTANCES_INVERSION","文法規則：CLAUSE UNDER_NO_CIRCUMSTANCES INVERSION","sentence_structure","CLAUSE.UNDER_NO_CIRCUMSTANCES.INVERSION","[""clause"",""under_no_circumstances"",""inversion""]","Under no circumstances visitors should remove","Under no circumstances should visitors remove","Under no circumstances 放在句首時，主句使用助動詞倒裝： should + 主語 + 動詞原形。","[""Under no circumstances should visitors remove""]","[""Under no circumstances visitors should remove""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_WHATEVER_FUTURE_PRESENT_NOT_WILL","文法規則：CLAUSE WHATEVER FUTURE_PRESENT_NOT_WILL","sentence_structure","CLAUSE.WHATEVER.FUTURE_PRESENT_NOT_WILL","[""clause"",""whatever"",""future_present_not_will""]","will be","is","whatever 引出的從屬分句談論未來時，通常使用一般現在式，不在分句內加入 will。主句可使用將來式或其他合適時態。","[""is""]","[""will be""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_WHEN_FUTURE_PRESENT","文法規則：CLAUSE WHEN FUTURE_PRESENT","sentence_structure","CLAUSE.WHEN.FUTURE_PRESENT","[""clause"",""when"",""future_present""]","will arise","arises","指未來的時間分句通常使用一般現在式：when a problem arises。 主句才使用將來或情態結構。","[""arises""]","[""will arise""]","[]","British English","approved","1","Edmund Sir"
"CLAUSE_WHILE_SHARED_SUBJECT_PARTICIPLE","文法規則：CLAUSE WHILE SHARED_SUBJECT PARTICIPLE","sentence_structure","CLAUSE.WHILE.SHARED_SUBJECT.PARTICIPLE","[""clause"",""while"",""shared_subject"",""participle""]","remain","retaining","省略重複主語時， while 後可用現在分詞：while retaining...。也可寫完整分句 while it retains...。","[""retaining""]","[""remain""]","[]","British English","approved","1","Edmund Sir"
"CLEFT_IT_WAS_NOT_UNTIL_THAT","文法規則：CLEFT IT_WAS_NOT_UNTIL THAT","sentence_structure","CLEFT.IT_WAS_NOT_UNTIL.THAT","[""cleft"",""it_was_not_until"",""that""]","when","that","強調句型固定使用 It was not until X that Y。 when 可引出普通時間分句，但不能取代這個強調結構中的 that。","[""that""]","[""when""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_ACCOUNT_FOR_PERCENTAGE","文法規則：COLLOC ACCOUNT_FOR PERCENTAGE","preposition","COLLOC.ACCOUNT_FOR.PERCENTAGE","[""colloc"",""account_for"",""percentage""]","is almost one-half, got 50.1%","accounted for 50.1% of the population","圖表寫作中，表示某組別佔整體某個百分比，可用 account for + 百分比 + of the total/population。 2000 年是過去數據，所以用 accounted for。 got 50.1% 不適合描述人口比例。","[""accounted for 50.1% of the population""]","[""is almost one-half, got 50.1%""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_ANXIETY_ABOUT_CLOTHING","文法規則：COLLOC ANXIETY_ABOUT CLOTHING","preposition","COLLOC.ANXIETY_ABOUT.CLOTHING","[""colloc"",""anxiety_about"",""clothing""]","this wearing anxiety","anxiety about clothing","anxiety 通常用 about 或 over 引出令人憂慮的事情。 wearing anxiety 不能清楚表達「對衣着的焦慮」。也可寫 clothing-related anxiety。","[""anxiety about clothing""]","[""this wearing anxiety""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_ASSIGN_DUTIES","文法規則：COLLOC ASSIGN DUTIES","preposition","COLLOC.ASSIGN.DUTIES","[""colloc"",""assign"",""duties""]","offer job duties","assign duties","工作任務通常由僱主 assign，所以用 assign duties。offer a job 是提供職位； offer help 是提供協助，與分派職責不同。","[""assign duties""]","[""offer job duties""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_CHART_AGE_DISTRIBUTION_POPULATION","文法規則：COLLOC CHART AGE_DISTRIBUTION POPULATION","preposition","COLLOC.CHART.AGE_DISTRIBUTION.POPULATION","[""colloc"",""chart"",""age_distribution"",""population""]","the age of residents","the age distributions of the populations","圖表比較的是人口中不同年齡組別所佔的比例，因此通常寫 age distribution of the population，而不是只寫個別居民的 age。原句並非完全不能理解，但目標寫法更準確地描述統計內容。","[""the age distributions of the populations""]","[""the age of residents""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_CHART_SEGMENT_NOT_SLICE","文法規則：COLLOC CHART SEGMENT NOT_SLICE","preposition","COLLOC.CHART.SEGMENT.NOT_SLICE","[""colloc"",""chart"",""segment"",""not_slice""]","slice","segment","slice 可以描述圓形圖中的一塊，因此並非文法錯誤；不過正式報告通常用 segment、 category 或 age group。 這項修改屬圖表語域建議。","[""segment""]","[""slice""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_CONDUCT_RESEARCH","文法規則：COLLOC CONDUCT_RESEARCH","preposition","COLLOC.CONDUCT_RESEARCH","[""colloc"",""conduct_research""]","has made research","has conducted research","research 通常配合 conduct、 carry out 或 do，不使用 make research。 do research 也是正確替代。","[""has conducted research""]","[""has made research""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_CYCLE_PATH","文法規則：COLLOC CYCLE_PATH","preposition","COLLOC.CYCLE_PATH","[""colloc"",""cycle_path""]","cycling path","cycle path","指專供單車使用的道路，常用固定複合名詞 cycle path。 cycling path 可以理解，但不是一般地圖標示。","[""cycle path""]","[""cycling path""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_EVOLVE_FROM_INTO","文法規則：COLLOC EVOLVE FROM_INTO","preposition","COLLOC.EVOLVE.FROM_INTO","[""colloc"",""evolve"",""from_into""]","transformed","evolved","描述地區逐步發展成另一種形態，常用 evolve from A into B。 transform from A into B 亦可成立；原句的主要問題是搭配不穩定而非絕對不合文法。","[""evolved""]","[""transformed""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_EXCESSIVE_WORKLOAD_PLURAL","文法規則：COLLOC EXCESSIVE_WORKLOAD PLURAL","preposition","COLLOC.EXCESSIVE_WORKLOAD.PLURAL","[""colloc"",""excessive_workload"",""plural""]","over workload","excessive workloads,","over 不能直接這樣修飾 workload。表示工作量過多，可用 an excessive workload 或泛指多種工作負擔的 excessive workloads。","[""excessive workloads,""]","[""over workload""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_FALL_BEHIND_SCHEDULE","文法規則：COLLOC FALL_BEHIND_SCHEDULE","preposition","COLLOC.FALL_BEHIND_SCHEDULE","[""colloc"",""fall_behind_schedule""]","fallen beneath schedule","fallen behind schedule","表示進度遲於計劃時，固定搭配是 fall behind schedule。 below 可用於 below target／ below budget，但不宜取代 behind schedule。","[""fallen behind schedule""]","[""fallen beneath schedule""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_GIVE_NP_PRIORITY","文法規則：COLLOC GIVE NP PRIORITY","preposition","COLLOC.GIVE.NP.PRIORITY","[""colloc"",""give"",""np"",""priority""]","give the strongest priority for prevention","give prevention the strongest priority","本句使用 give + 對象 + priority：give prevention the strongest priority。另一個正確寫法是 give the strongest priority to prevention；這個結構不用 for。","[""give prevention the strongest priority""]","[""give the strongest priority for prevention""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_GIVE_PERSON_WORK","文法規則：COLLOC GIVE PERSON WORK","preposition","COLLOC.GIVE.PERSON.WORK","[""colloc"",""give"",""person"",""work""]","offer jobs for them","give them work","offer someone a job 通常表示提供一個職位；本句則指僱主在下班後給員工工作，所以可寫 give them work。 另一個正確寫法是 assign work to them。 這項修改涉及 job 和 work 的意思差別，宜保留老師覆核。","[""give them work""]","[""offer jobs for them""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_HAVE_EFFECTS_ON","文法規則：COLLOC HAVE_EFFECTS ON","preposition","COLLOC.HAVE_EFFECTS.ON","[""colloc"",""have_effects"",""on""]","has placed detrimental effects on","has had detrimental effects on","表示某事對某人產生影響，可用 have an effect on 或 have effects on。 所以這裡寫 has had detrimental effects on workers。另一個正確結構是 has placed considerablepressure on workers，但不能混合兩個搭配。","[""has had detrimental effects on"",""has negative effects on""]","[""has placed detrimental effects on"",""draws on negative effects to""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_HAVE_PERSONAL_TIME","文法規則：COLLOC HAVE_PERSONAL_TIME","preposition","COLLOC.HAVE_PERSONAL_TIME","[""colloc"",""have_personal_time""]","keep","have","表示工人擁有較多私人時間，通常用 have more personal time。keep time 有守時、記錄時間等其他意思，因此在這裡不夠準確。","[""have""]","[""keep""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_HAVE_TIME_TO_SLEEP","文法規則：COLLOC HAVE_TIME TO_SLEEP","preposition","COLLOC.HAVE_TIME.TO_SLEEP","[""colloc"",""have_time"",""to_sleep""]","homework and get quality","homework, have more","quality time 通常指有意義地與某人相處或從事重視的活動，不等於可供睡眠的時間。若原意是「多一點時間睡覺」，可寫 have more time to sleep；若強調睡眠量，可寫 get enough sleep。","[""homework, have more""]","[""homework and get quality""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_LATER_IN_LIFE","文法規則：COLLOC LATER IN_LIFE","preposition","COLLOC.LATER.IN_LIFE","[""colloc"",""later"",""in_life""]","later at life","later in life","是 later in life，表示在人生較後階段。也可寫 at a later stage in life，但不能直接寫 later at life。","[""later in life""]","[""later at life""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_MAKE_DRESSING_EASIER","文法規則：COLLOC MAKE DRESSING_EASIER","preposition","COLLOC.MAKE.DRESSING_EASIER","[""colloc"",""make"",""dressing_easier""]","wearing","dressing","單獨的 wearing 通常需要說明穿甚麼，例如 wearing uniforms。表示「令穿衣更容易」，可用名詞化動作 dressing，也可寫 make getting dressed easier。","[""dressing""]","[""wearing""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_MAKE_PROGRESS","文法規則：COLLOC MAKE_PROGRESS","preposition","COLLOC.MAKE_PROGRESS","[""colloc"",""make_progress""]","done progress","made progress","固定搭配是 make progress。 progress 在這裡通常是不可數名詞，不寫 do progress 或 make a progress。","[""made progress""]","[""done progress""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_PROVIDE_CONDITIONS","文法規則：COLLOC PROVIDE CONDITIONS","preposition","COLLOC.PROVIDE.CONDITIONS","[""colloc"",""provide"",""conditions""]","give a","provide","表示政府或僱主創造工作條件，常用 provide working conditions。 give 也可使用，但通常需要明確受詞，如 give employees better working conditions。","[""provide""]","[""give a""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_PROVIDE_PARKING","文法規則：COLLOC PROVIDE PARKING","preposition","COLLOC.PROVIDE.PARKING","[""colloc"",""provide"",""parking""]","supplied","provided","表示設置公共設施通常用 provide parking。supply 多用於可供應的物品或服務，例如水、電或設備。","[""provided""]","[""supplied""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_STAND_AT_VALUE","文法規則：COLLOC STAND_AT VALUE","preposition","COLLOC.STAND_AT.VALUE","[""colloc"",""stand_at"",""value""]","stood 4.0 MWh","stood at 4.0 MWh","stand at + 數值表示某項數據處於指定水平。不能直接寫 stand 4.0。","[""stood at 4.0 MWh""]","[""stood 4.0 MWh""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_STRONGLY_BELIEVE","文法規則：COLLOC STRONGLY_BELIEVE","preposition","COLLOC.STRONGLY_BELIEVE","[""colloc"",""strongly_believe""]","highly believe","strongly believe","表示相信程度很高，標準搭配是 strongly believe。 highly 常修飾 successful、 unlikely、 recommended 等詞； highly believe 並非一般標準搭配。","[""strongly believe""]","[""highly believe""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_TAKE_INTO_CONSIDERATION_NO_OF","文法規則：COLLOC TAKE_INTO_CONSIDERATION NO_OF","preposition","COLLOC.TAKE_INTO_CONSIDERATION.NO_OF","[""colloc"",""take_into_consideration"",""no_of""]","take into consideration of costs","take into consideration costs","take into consideration 後面直接接考慮的事項，不加 of。較常見的另一詞序是 take costs into consideration。","[""take into consideration costs""]","[""take into consideration of costs""]","[]","British English","approved","1","Edmund Sir"
"COLLOC_TAKE_IT_FOR_GRANTED","文法規則：COLLOC TAKE_IT_FOR_GRANTED","preposition","COLLOC.TAKE_IT_FOR_GRANTED","[""colloc"",""take_it_for_granted""]","take it as granted","take it for granted","固定搭配是 take it for granted that…，表示未經思考便假定某事必然成立。邊界：take it as given that… 也是正確搭配，但使用 given，不使用 granted。","[""take it for granted""]","[""take it as granted""]","[]","British English","approved","1","Edmund Sir"
